Account,Symbol,Price,Side,Info,Size,Date
CSTLNM31,SM,69.54,1,0,100,20130828-19:45:02.932 
CSTLNM31,TKR,57.23,5,0,100,20130828-19:45:02.951 
CSTLNM31,TDC,59.03,5,0,100,20130828-19:45:02.955 
CSTLNM31,PSA,152.71,1,0,100,20130828-19:45:03.109 
CSTLNM31,ARW,46.380000,1,0,100,20130828-20:00:14 
CSTLNM31,OSK,45.660000,1,0,100,20130828-20:00:22 
CSTLNM31,AYI,86.210000,5,0,100,20130828-20:00:23 
CSTLNM31,EIX,46.360000,1,0,100,20130828-20:00:25 
CSTLNM31,WDR,47.870000,5,0,110,20130828-20:00:28 
CSTLNM31,WDR,47.870000,5,0,190,20130828-20:00:28 
CSTLNM31,AVB,124.450000,5,0,100,20130828-20:00:29 
CSTLNM31,NYX,41.750000,1,0,100,20130828-20:00:34 
CSTLNM31,TMK,69.360000,1,0,37,20130828-20:00:37 
CSTLNM31,TMK,69.360000,1,0,63,20130828-20:00:37 
CSTLNM31,HSY,91.080000,5,0,100,20130828-20:00:37 
CSTLNM31,CYN,66.570000,1,0,300,20130828-20:00:39 
CSTLNM31,AME,43.450000,1,0,100,20130828-20:00:40 
CSTLNM31,DO,65.270000,5,0,100,20130828-20:00:41 
CSTLNM31,PSA,152.650000,5,0,100,20130828-20:00:43 
CSTLNM31,CRS,54.310000,5,0,100,20130828-20:00:51 
CSTLNM31,CM,76.810000,1,0,300,20130828-20:00:51 
CSTLNM31,TUP,82.360000,5,0,100,20130828-20:00:51 
CSTLNM31,NSR,50.200000,1,0,100,20130828-20:01:16 
CSTLNM31,CLH,56.740000,1,0,100,20130828-20:01:18 
CSTLNM31,OXM,62.510000,1,0,300,20130828-20:01:21 
CSTLNM31,JWN,56.530000,5,0,100,20130828-20:01:24 
CSTLNM31,TKR,57.160000,1,0,100,20130828-20:01:25 
CSTLNM31,EFX,60.430000,5,0,100,20130828-20:01:27 
CSTLNM31,FRT,98.410000,5,0,100,20130828-20:01:32 
CSTLNM31,EQR,52.100000,5,0,100,20130828-20:01:35 
CSTLNM31,SMG,52.640000,5,0,300,20130828-20:01:38 
CSTLNM31,CPT,62.580000,5,0,100,20130828-20:01:38 
